(age,age)	26470
(age,american)	2093
(age,april)	569
(age,area)	630
(age,both)	612
(age,century)	777
(age,city)	4264
(age,county)	2667
(age,december)	460
(age,early)	1231
(age,film)	446
(age,first)	1928
(age,high)	770
(age,history)	1342
(age,including)	3345
(age,january)	488
(age,john)	726
(age,july)	476
(age,june)	463
(age,known)	899
(age,life)	1109
(age,made)	3639
(age,march)	487
(age,national)	700
(age,news)	442
(age,north)	553
(age,november)	442
(age,october)	492
(age,org)	649
(age,part)	711
(age,people)	2097
(age,population)	10551
(age,press)	638
(age,school)	1401
(age,september)	417
(age,south)	450
(age,state)	751
(age,states)	669
(age,three)	815
(age,through)	723
(age,time)	1438
(age,town)	2256
(age,two)	2552
(age,united)	733
(age,university)	901
(age,war)	652
(age,world)	1102
(age,year)	1251
(age,years)	14489
(age,york)	723
(american,age)	2093
(american,american)	40114
(american,april)	2212
(american,area)	1076
(american,both)	1399
(american,century)	1664
(american,city)	3493
(american,county)	2067
(american,december)	1876
(american,early)	1791
(american,film)	3959
(american,first)	4934
(american,high)	1339
(american,history)	3291
(american,including)	1783
(american,january)	2417
(american,john)	3922
(american,july)	1857
(american,june)	2050
(american,known)	2100
(american,life)	1981
(american,made)	1658
(american,march)	2082
(american,national)	2983
(american,news)	1439
(american,north)	2492
(american,november)	1740
(american,october)	1909
(american,org)	2392
(american,part)	1381
(american,people)	7751
(american,population)	5642
(american,press)	2436
(american,school)	1514
(american,september)	2023
(american,south)	2042
(american,state)	2096
(american,states)	5023
(american,three)	1444
(american,through)	1327
(american,time)	2676
(american,town)	1244
(american,two)	5530
(american,united)	5067
(american,university)	3906
(american,war)	4431
(american,world)	3262
(american,year)	1858
(american,years)	2120
(american,york)	4073
(april,age)	569
(april,american)	2212
(april,april)	11796
(april,area)	806
(april,both)	1206
(april,century)	723
(april,city)	2009
(april,county)	970
(april,december)	2404
(april,early)	1189
(april,film)	1114
(april,first)	3914
(april,high)	1130
(april,history)	1766
(april,including)	1258
(april,january)	2585
(april,john)	1535
(april,july)	2598
(april,june)	2871
(april,known)	1300
(april,life)	1236
(april,made)	1388
(april,march)	4001
(april,national)	1811
(april,news)	3565
(april,north)	1010
(april,november)	2258
(april,october)	2551
(april,org)	2594
(april,part)	1359
(april,people)	1866
(april,population)	662
(april,press)	1280
(april,school)	1072
(april,september)	2490
(april,south)	1124
(april,state)	1499
(april,states)	1502
(april,three)	1368
(april,through)	1164
(april,time)	2520
(april,town)	728
(april,two)	2755
(april,united)	2116
(april,university)	1746
(april,war)	1779
(april,world)	2409
(april,year)	1923
(april,years)	1675
(april,york)	1764
(area,age)	630
(area,american)	1076
(area,april)	806
(area,area)	9778
(area,both)	1234
(area,century)	1525
(area,city)	6507
(area,county)	4819
(area,december)	675
(area,early)	1272
(area,film)	336
(area,first)	2670
(area,high)	1560
(area,history)	2216
(area,including)	1463
(area,january)	753
(area,john)	697
(area,july)	731
(area,june)	712
(area,known)	2099
(area,life)	567
(area,made)	1121
(area,march)	801
(area,national)	1850
(area,news)	658
(area,north)	3119
(area,november)	622
(area,october)	669
(area,org)	995
(area,part)	2850
(area,people)	2336
(area,population)	3158
(area,press)	455
(area,school)	1464
(area,september)	766
(area,south)	2795
(area,state)	1986
(area,states)	2880
(area,three)	1311
(area,through)	1751
(area,time)	1682
(area,town)	3052
(area,two)	2657
(area,united)	2772
(area,university)	1165
(area,war)	1312
(area,world)	1409
(area,year)	1060
(area,years)	1396
(area,york)	813
(both,age)	612
(both,american)	1399
(both,april)	1206
(both,area)	1234
(both,both)	4506
(both,century)	1549
(both,city)	1733
(both,county)	682
(both,december)	936
(both,early)	1701
(both,film)	1139
(both,first)	4926
(both,high)	1903
(both,history)	1797
(both,including)	1875
(both,january)	1091
(both,john)	1318
(both,july)	1013
(both,june)	1021
(both,known)	2298
(both,life)	1733
(both,made)	2131
(both,march)	1169
(both,national)	1509
(both,news)	1203
(both,north)	1244
(both,november)	1003
(both,october)	1037
(both,org)	1299
(both,part)	1893
(both,people)	1827
(both,population)	576
(both,press)	1014
(both,school)	1148
(both,september)	1131
(both,south)	1250
