(city,july)	2432
(city,june)	2384
(city,known)	3545
(city,life)	1827
(city,made)	2755
(city,march)	2616
(city,national)	3981
(city,news)	2855
(city,north)	5407
(city,november)	2414
(city,october)	2467
(city,org)	2693
(city,part)	4067
(city,people)	6194
(city,population)	9326
(city,press)	1835
(city,school)	4095
(city,september)	2678
(city,south)	5314
(city,state)	6346
(city,states)	6749
(city,three)	2856
(city,through)	3035
(city,time)	3957
(city,town)	5497
(city,two)	6070
(city,united)	7225
(city,university)	4329
(city,war)	3318
(city,world)	4538
(city,year)	3565
(city,years)	5573
(city,york)	7194
(county,age)	4600
(county,american)	2927
(county,april)	1253
(county,area)	6453
(county,both)	910
(county,century)	898
(county,city)	9974
(county,county)	75224
(county,december)	1165
(county,early)	1163
(county,film)	301
(county,first)	2686
(county,high)	1473
(county,history)	3873
(county,including)	1983
(county,january)	1250
(county,john)	1824
(county,july)	1104
(county,june)	1033
(county,known)	1163
(county,life)	597
(county,made)	956
(county,march)	1353
(county,national)	3580
(county,news)	1076
(county,north)	6033
(county,november)	1102
(county,october)	818
(county,org)	1849
(county,part)	3286
(county,people)	3325
(county,population)	6822
(county,press)	576
(county,school)	3880
(county,september)	959
(county,south)	4976
(county,state)	8620
(county,states)	7087
(county,three)	1285
(county,through)	1515
(county,time)	1245
(county,town)	7326
(county,two)	2582
(county,united)	6970
(county,university)	1822
(county,war)	2419
(county,world)	836
(county,year)	1535
(county,years)	2236
(county,york)	2883
(december,age)	626
(december,american)	2472
(december,april)	3165
(december,area)	951
(december,both)	1300
(december,century)	843
(december,city)	2240
(december,county)	1165
(december,december)	12724
(december,early)	1422
(december,film)	1576
(december,first)	4541
(december,high)	1180
(december,history)	1944
(december,including)	1404
(december,january)	4304
(december,john)	2010
(december,july)	2874
(december,june)	2945
(december,known)	1430
(december,life)	1522
(december,made)	1499
(december,march)	3674
(december,national)	2076
(december,news)	3820
(december,north)	1170
(december,november)	3875
(december,october)	3436
(december,org)	2658
(december,part)	1434
